,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
0,정읍시,01-01,금요일,외지인(b),24892,205.9 / SSW5.6,-8.2,2.9,0.4,50,91,1025.0,1028.0
1,정읍시,01-02,토요일,외지인(b),26044,0.0 / N7.2,-6.0,0.1,0.6,41,94,1024.9,1032.4
2,정읍시,01-03,일요일,외지인(b),20517,33.8 / NE4.3,-6.6,0.3,0.0,50,84,1032.4,1035.3
3,정읍시,01-04,월요일,외지인(b),17462,5.6 / N4.2,-8.0,1.6,0.0,60,90,1028.2,1034.0
4,정읍시,01-05,화요일,외지인(b),17472,16.9 / NNE8.0,-5.0,2.2,0.2,51,93,1027.2,1032.1
5,정읍시,01-06,수요일,외지인(b),16758,270.7 / W8.2,-8.8,-1.1,2.1,50,92,1020.2,1030.3
6,정읍시,01-07,목요일,외지인(b),10588,338.4 / NNW14.4,-14.9,-2.4,8.1,52,92,1021.6,1028.5
7,정읍시,01-08,금요일,외지인(b),14028,31.0 / NNE4.7,-17.6,-9.5,0.0,52,83,1023.4,1027.4
8,정읍시,01-09,토요일,외지인(b),18921,352.5 / N6.9,-17.4,-5.3,0.0,44,83,1022.2,1027.7
9,정읍시,01-10,일요일,외지인(b),17605,70.5 / ENE3.8,-14.6,-1.7,0.0,52,87,1026.2,1029.3
10,정읍시,01-11,월요일,외지인(b),16408,25.4 / NNE5.2,-7.9,-1.8,0.0,57,87,1022.7,1030.3
11,정읍시,01-12,화요일,외지인(b),17119,234.1 / SW7.2,-8.5,2.8,0.3,50,92,1016.5,1022.8
12,정읍시,01-13,수요일,외지인(b),18659,217.1 / SW7.7,-0.9,9.6,0.0,48,85,1014.1,1019.5
13,정읍시,01-14,목요일,외지인(b),19828,33.8 / NE4.8,0.4,8.5,0.0,61,92,1019.1,1023.6
14,정읍시,01-15,금요일,외지인(b),21133,211.5 / SSW12.8,2.3,13.6,0.0,61,87,1013.9,1020.4
15,정읍시,01-16,토요일,외지인(b),26327,8.5 / N10.4,-3.8,2.7,0.0,56,77,1019.4,1029.9
16,정읍시,01-17,일요일,외지인(b),22712,42.3 / NE6.6,-6.2,0.0,0.0,44,78,1025.1,1031.6
17,정읍시,01-18,월요일,외지인(b),15477,279.2 / W13.0,-2.5,5.3,8.8,34,94,1019.0,1028.1
18,정읍시,01-19,화요일,외지인(b),19488,42.3 / NE6.1,-8.4,-0.9,0.0,27,74,1027.9,1033.5
19,정읍시,01-20,수요일,외지인(b),21277,19.7 / NNE3.1,-7.6,9.5,0.0,31,78,1026.7,1032.0
20,정읍시,01-21,목요일,외지인(b),21438,115.6 / ESE3.7,1.6,11.4,8.4,59,96,1019.0,1026.7
21,정읍시,01-22,금요일,외지인(b),22495,67.7 / ENE4.0,6.2,9.4,2.9,87,96,1017.1,1020.1
22,정읍시,01-23,토요일,외지인(b),26933,33.8 / NE3.8,5.9,10.6,1.3,79,96,1015.1,1020.3
23,정읍시,01-24,일요일,외지인(b),26488,19.7 / NNE5.6,1.1,12.0,0.0,48,96,1020.2,1028.0
24,정읍시,01-25,월요일,외지인(b),22050,8.5 / N4.8,1.4,13.6,0.0,45,91,1022.2,1027.8
25,정읍시,01-26,화요일,외지인(b),20111,335.6 / NNW8.1,3.8,7.9,6.3,77,96,1017.8,1022.6
26,정읍시,01-27,수요일,외지인(b),22558,8.5 / N10.5,-1.0,6.9,0.0,24,90,1020.8,1025.1
27,정읍시,01-28,목요일,외지인(b),20129,341.2 / NNW15.5,-5.5,6.1,1.4,45,89,1015.3,1025.2
28,정읍시,01-29,금요일,외지인(b),20580,335.6 / NNW10.5,-8.1,-2.0,1.3,53,87,1025.1,1028.1
29,정읍시,01-30,토요일,외지인(b),27752,259.4 / W9.2,-6.9,9.2,0.0,58,90,1024.7,1029.0
30,정읍시,01-31,일요일,외지인(b),25785,177.7 / S10.4,-3.4,12.7,0.5,44,90,1021.4,1029.5
31,정읍시,02-01,월요일,외지인(b),17364,245.3 / WSW9.3,2.6,11.2,3.7,65,93,1014.4,1022.7
32,정읍시,02-02,화요일,외지인(b),17994,8.5 / N11.7,-4.9,2.6,0.4,35,88,1022.7,1028.4
33,정읍시,02-03,수요일,외지인(b),17990,188.9 / S8.5,-7.3,4.3,0.3,21,89,1021.9,1029.3
34,정읍시,02-04,목요일,외지인(b),18638,355.3 / N8.5,-4.1,4.2,4.1,37,93,1021.8,1029.9
35,정읍시,02-05,금요일,외지인(b),21242,270.7 / W4.7,-5.8,8.3,0.0,25,81,1018.5,1028.2
36,정읍시,02-06,토요일,외지인(b),26877,236.9 / WSW6.2,0.1,10.5,0.0,29,87,1015.8,1018.6
37,정읍시,02-07,일요일,외지인(b),24556,11.3 / NNE6.6,0.5,10.2,0.0,45,92,1018.0,1026.2
38,정읍시,02-08,월요일,외지인(b),20682,0.0 / N11.1,-3.9,1.0,0.0,31,69,1025.7,1031.1
39,정읍시,02-09,화요일,외지인(b),21837,11.3 / NNE5.2,-6.3,4.9,0.0,28,70,1027.2,1031.3
40,정읍시,02-10,수요일,외지인(b),29400,8.5 / N5.2,-3.9,9.2,0.0,49,86,1023.9,1028.3
41,정읍시,02-11,목요일,외지인(b),51643,19.7 / NNE4.7,-0.7,10.7,0.0,40,91,1022.7,1027.0
42,정읍시,02-12,금요일,외지인(b),69741,2.8 / N4.7,1.2,14.5,0.0,17,87,1022.9,1025.5
43,정읍시,02-13,토요일,외지인(b),48643,19.7 / NNE5.1,-1.1,15.8,0.0,21,74,1021.1,1026.9
44,정읍시,02-14,일요일,외지인(b),28238,211.5 / SSW4.9,2.7,16.4,1.0,28,86,1011.0,1021.1
45,정읍시,02-15,월요일,외지인(b),20507,335.6 / NNW12.6,-0.6,6.9,1.0,49,94,1010.3,1018.8
46,정읍시,02-16,화요일,외지인(b),20220,248.2 / WSW14.4,-4.4,5.4,2.2,33,91,1012.1,1019.8
47,정읍시,02-17,수요일,외지인(b),15614,324.3 / NW11.5,-7.2,-4.1,8.7,57,89,1019.0,1022.0
48,정읍시,02-18,목요일,외지인(b),18165,341.2 / NNW11.1,-7.3,-0.8,2.8,53,88,1021.7,1024.7
49,정읍시,02-19,금요일,외지인(b),23195,220.0 / SW10.7,-5.2,9.4,0.0,47,89,1014.1,1024.8
50,정읍시,02-20,토요일,외지인(b),30135,220.0 / SW9.6,6.7,16.0,0.0,47,90,1010.6,1014.2
51,정읍시,02-21,일요일,외지인(b),28259,236.9 / WSW13.3,9.4,21.7,0.0,25,72,1010.0,1012.8
52,정읍시,02-22,월요일,외지인(b),23972,214.3 / SW9.4,0.9,17.0,0.0,52,74,1010.6,1023.9
53,정읍시,02-23,화요일,외지인(b),23888,313.0 / NW6.4,-2.9,5.8,0.0,32,71,1023.9,1028.1
54,정읍시,02-24,수요일,외지인(b),24350,33.8 / NE4.0,-2.8,9.1,0.0,14,74,1022.8,1026.7
55,정읍시,02-25,목요일,외지인(b),23328,101.5 / ESE5.4,-1.1,4.6,11.8,64,94,1020.5,1025.3
56,정읍시,02-26,금요일,외지인(b),26716,67.7 / ENE8.8,2.4,15.9,0.0,20,95,1017.9,1023.9
57,정읍시,02-27,토요일,외지인(b),37230,79.0 / E7.3,3.2,14.1,0.0,31,70,1023.7,1027.7
58,정읍시,02-28,일요일,외지인(b),36239,87.4 / E4.6,2.3,9.7,0.9,49,96,1020.8,1027.5
59,정읍시,03-01,월요일,외지인(b),20836,200.2 / SSW15.2,3.9,17.5,35.4,69,96,1008.0,1020.8
60,정읍시,03-02,화요일,외지인(b),19705,324.3 / NW7.5,-0.8,6.2,0.0,59,92,1014.0,1029.9
61,정읍시,03-03,수요일,외지인(b),21508,287.6 / WNW4.9,-2.3,11.3,0.0,31,93,1026.9,1031.3
62,정읍시,03-04,목요일,외지인(b),20538,25.4 / NNE4.8,3.0,10.9,5.9,54,95,1020.6,1027.2
63,정읍시,03-05,금요일,외지인(b),23730,53.6 / NE7.7,3.4,15.3,0.0,47,97,1017.7,1023.3
64,정읍시,03-06,토요일,외지인(b),29323,19.7 / NNE4.2,3.3,11.3,0.0,69,96,1023.0,1028.4
65,정읍시,03-07,일요일,외지인(b),26695,279.2 / W4.8,5.3,12.0,0.0,56,91,1025.8,1029.3
66,정읍시,03-08,월요일,외지인(b),22260,2.8 / N5.9,2.3,13.5,0.0,34,90,1024.4,1029.1
67,정읍시,03-09,화요일,외지인(b),23328,0.0 / N6.7,1.5,11.8,0.0,27,85,1023.8,1028.2
68,정읍시,03-10,수요일,외지인(b),23975,248.2 / WSW5.1,-0.7,16.5,0.0,36,90,1026.0,1029.7
69,정읍시,03-11,목요일,외지인(b),23853,0.0 / N5.5,2.1,17.6,0.5,36,88,1022.5,1029.1
70,정읍시,03-12,금요일,외지인(b),23961,2.8 / N7.4,5.0,9.3,16.9,77,95,1018.1,1022.9
71,정읍시,03-13,토요일,외지인(b),33037,338.4 / NNW6.2,1.5,13.9,0.0,46,98,1020.1,1023.3
72,정읍시,03-14,일요일,외지인(b),29729,19.7 / NNE5.9,2.0,12.8,0.0,50,93,1019.3,1022.9
73,정읍시,03-15,월요일,외지인(b),24287,245.3 / WSW8.7,1.8,19.3,1.8,29,95,1013.1,1019.9
74,정읍시,03-16,화요일,외지인(b),24500,2.8 / N7.7,1.5,12.6,3.8,46,96,1013.0,1019.1
75,정읍시,03-17,수요일,외지인(b),24945,8.5 / N5.7,-0.7,15.5,0.0,33,92,1017.2,1021.1
76,정읍시,03-18,목요일,외지인(b),25172,324.3 / NW5.6,1.6,18.4,0.0,41,90,1016.5,1021.3
77,정읍시,03-19,금요일,외지인(b),27563,16.9 / NNE6.2,5.4,18.7,0.0,45,82,1015.3,1020.5
78,정읍시,03-20,토요일,외지인(b),30030,2.8 / N7.2,5.5,10.1,5.3,71,95,1011.4,1015.7
79,정읍시,03-21,일요일,외지인(b),29964,324.3 / NW13.7,4.4,9.0,0.0,43,84,1014.5,1022.2
80,정읍시,03-22,월요일,외지인(b),24917,270.7 / W9.3,2.4,11.0,0.0,31,84,1021.4,1023.9
81,정읍시,03-23,화요일,외지인(b),26506,225.6 / SW8.5,2.0,16.2,0.0,31,90,1020.4,1024.1
82,정읍시,03-24,수요일,외지인(b),26198,200.2 / SSW7.7,3.2,17.4,0.0,27,80,1018.2,1022.8
83,정읍시,03-25,목요일,외지인(b),27048,8.5 / N5.8,4.6,19.5,0.0,36,96,1019.8,1023.1
84,정읍시,03-26,금요일,외지인(b),29817,33.8 / NE4.9,2.7,21.2,0.0,37,97,1017.3,1023.7
85,정읍시,03-27,토요일,외지인(b),33530,124.1 / SE10.6,7.8,17.0,24.6,36,92,1003.0,1018.6
86,정읍시,03-28,일요일,외지인(b),32599,251.0 / WSW11.7,8.7,15.2,0.0,65,94,1002.8,1007.4
87,정읍시,03-29,월요일,외지인(b),26726,248.2 / WSW8.1,7.1,16.3,0.0,30,92,1007.3,1011.4
88,정읍시,03-30,화요일,외지인(b),28588,11.3 / NNE8.7,5.3,17.8,0.0,24,85,1010.9,1014.3
89,정읍시,03-31,수요일,외지인(b),29316,335.6 / NNW5.2,2.9,22.4,0.0,24,78,1011.5,1014.9
90,정읍시,04-01,목요일,외지인(b),22680,87.4 / E7.5,6.7,22.5,0.0,21,75,1014.4,1017.6
91,정읍시,04-02,금요일,외지인(b),26653,200.2 / SSW7.6,13.8,25.5,0.0,25,53,1015.3,1018.6
92,정읍시,04-03,토요일,외지인(b),31854,143.8 / SE10.6,11.9,19.7,6.1,52,95,1007.9,1015.8
93,정읍시,04-04,일요일,외지인(b),29012,5.6 / N6.1,7.4,12.6,4.6,75,95,1009.6,1019.8
94,정읍시,04-05,월요일,외지인(b),23961,19.7 / NNE8.3,4.9,17.1,0.0,24,97,1019.7,1023.5
95,정읍시,04-06,화요일,외지인(b),22425,8.5 / N8.3,4.4,17.5,0.0,22,84,1019.4,1022.7
96,정읍시,04-07,수요일,외지인(b),21945,8.5 / N7.9,4.4,20.0,0.0,24,84,1018.0,1022.9
97,정읍시,04-08,목요일,외지인(b),23107,2.8 / N7.8,5.5,16.8,0.0,18,78,1018.1,1021.0
98,정읍시,04-09,금요일,외지인(b),26474,335.6 / NNW6.8,2.5,19.8,0.0,23,81,1020.8,1028.0
99,정읍시,04-10,토요일,외지인(b),38752,8.5 / N8.4,6.0,18.9,0.0,30,85,1028.0,1031.5
100,정읍시,04-11,일요일,외지인(b),34601,203.0 / SSW5.3,5.2,23.7,0.0,17,85,1025.5,1031.6
101,정읍시,04-12,월요일,외지인(b),19457,183.3 / S10.1,11.3,15.4,12.8,24,92,1010.3,1027.1
102,정읍시,04-13,화요일,외지인(b),20580,251.0 / WSW10.9,4.7,14.8,1.3,56,94,1010.0,1020.1
103,정읍시,04-14,수요일,외지인(b),22400,19.7 / NNE7.7,2.8,13.8,0.0,26,78,1018.8,1022.2
104,정읍시,04-15,목요일,외지인(b),23786,8.5 / N6.4,1.1,18.4,0.0,21,88,1015.4,1021.7
105,정읍시,04-16,금요일,외지인(b),24829,248.2 / WSW8.9,6.1,15.8,0.7,43,91,1015.7,1018.4
106,정읍시,04-17,토요일,외지인(b),34580,318.7 / NW12.9,6.6,15.8,0.0,24,98,1014.9,1018.1
107,정읍시,04-18,일요일,외지인(b),31714,338.4 / NNW10.9,4.1,13.9,0.0,32,84,1016.8,1019.7
108,정읍시,04-19,월요일,외지인(b),22015,338.4 / NNW6.1,2.2,19.6,0.0,24,88,1016.7,1020.0
109,정읍시,04-20,화요일,외지인(b),23296,19.7 / NNE6.4,4.9,22.3,0.0,25,86,1018.8,1022.4
110,정읍시,04-21,수요일,외지인(b),23814,279.2 / W7.3,8.3,27.7,0.0,18,75,1018.5,1022.6
111,정읍시,04-22,목요일,외지인(b),23979,200.2 / SSW10.2,12.1,26.4,0.0,19,68,1015.7,1021.8
112,정읍시,04-23,금요일,외지인(b),27213,76.1 / ENE8.1,16.8,26.4,0.0,20,46,1014.4,1018.5
113,정읍시,04-24,토요일,외지인(b),38066,8.5 / N9.8,12.1,24.7,0.0,23,64,1017.6,1020.0
114,정읍시,04-25,일요일,외지인(b),34507,248.2 / WSW6.9,8.6,24.6,0.0,34,79,1016.0,1021.4
115,정읍시,04-26,월요일,외지인(b),24728,146.6 / SSE5.5,8.9,22.8,0.0,24,87,1018.9,1022.5
116,정읍시,04-27,화요일,외지인(b),24427,234.1 / SW7.7,9.6,22.1,0.0,26,77,1015.6,1021.7
117,정읍시,04-28,수요일,외지인(b),24507,16.9 / NNE6.3,11.8,20.9,0.0,27,88,1013.3,1018.9
118,정읍시,04-29,목요일,외지인(b),24735,200.2 / SSW20.2,11.4,20.2,1.1,28,72,1000.6,1013.4
119,정읍시,04-30,금요일,외지인(b),28529,203.0 / SSW17.4,9.7,15.9,0.1,41,88,1000.4,1009.6
120,정읍시,05-01,토요일,외지인(b),36579,346.9 / NNW10.7,7.9,12.6,6.0,54,92,1002.6,1012.0
121,정읍시,05-02,일요일,외지인(b),33261,19.7 / NNE6.9,6.7,17.4,0.0,43,90,1011.7,1021.1
122,정읍시,05-03,월요일,외지인(b),23751,267.9 / W6.3,4.9,22.0,0.0,26,93,1016.0,1020.8
123,정읍시,05-04,화요일,외지인(b),22747,188.9 / S12.3,11.3,21.6,13.2,54,92,1002.4,1016.8
124,정읍시,05-05,수요일,외지인(b),32256,321.5 / NW8.4,6.8,19.1,0.0,22,93,1006.6,1019.6
125,정읍시,05-06,목요일,외지인(b),23716,203.0 / SSW6.6,5.3,22.8,0.0,21,68,1012.1,1019.5
126,정읍시,05-07,금요일,외지인(b),29694,197.4 / SSW13.0,8.2,20.9,0.0,27,87,1006.7,1012.1
127,정읍시,05-08,토요일,외지인(b),52766,245.3 / WSW13.7,6.7,23.1,0.0,32,87,1001.6,1010.4
128,정읍시,05-09,일요일,외지인(b),42889,19.7 / NNE8.0,7.3,21.8,0.0,23,93,1008.0,1012.2
129,정읍시,05-10,월요일,외지인(b),22428,2.8 / N14.4,10.9,17.9,0.4,42,89,1008.8,1015.6
130,정읍시,05-11,화요일,외지인(b),20993,118.4 / ESE7.4,13.1,25.7,0.5,44,91,1009.3,1012.6
131,정읍시,05-12,수요일,외지인(b),22474,16.9 / NNE8.0,11.8,27.7,0.0,38,77,1007.7,1012.0
132,정읍시,05-13,목요일,외지인(b),23478,25.4 / NNE6.3,14.3,28.2,0.0,42,87,1009.3,1012.4
133,정읍시,05-14,금요일,외지인(b),25536,279.2 / W6.1,14.8,29.1,0.0,41,87,1009.3,1013.2
134,정읍시,05-15,토요일,외지인(b),32627,180.5 / S7.4,19.1,26.2,0.8,66,88,1003.1,1009.5
